Id,Label,timeset,mode,act_type,nat,colour,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Viminale- Ministero Interno,,,1,Viminale- Ministero Interno,ITALY,"#B85D6F",1,3,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Ambassador of Belgium in Italy,,,1,Ambassador of Belgium in Italy,BELGIUM,"#64638E",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
illycaffè,,,1,illycaffè,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
security staff,,,1,security staff,NA,"#FFA910",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
French PM,,,1,French PM,FRANCE,"#6A886D",1,1,8,0.203733,0.220811,0,0.000104,0.000749,0,0.003692,0,0,0,0.003381
WHO,,,1,WHO,NA,"#FFA910",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Wethouder Nieuwegein,,,1,Wethouder Nieuwegein,NETHERLANDS,"#FFB415",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Mayor of Firenze,,,1,Mayor of Firenze,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
British PM,,,1,British PM,UNITED KINGDOM,"#E879A3",1,1,2,0.6,0.666667,0,0,0,11,0.004474,7,0,0,0.002481
Ministero dello Sviluppo Economico,,,1,Ministero dello Sviluppo Economico,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Democratici x il NO Foligno,,,1,Democratici x il NO Foligno,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Confindustria Toscana,,,1,Confindustria Toscana,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Mayor of Arezzo,,,1,Mayor of Arezzo,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
EU Council,,,1,EU Council,EUROPEAN UNION,"#5C9A5C",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Agenzia delle dogane e dei Monopoli,,,1,Agenzia delle dogane e dei Monopoli,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Ministerio de Sanidad,,,1,Ministerio de Sanidad,SPAIN,"#AF6729",1,1,2,0.666667,0.75,0,0,0,9,0.004969,5,0,0,0.002001
Comune di Montefranco,,,1,Comune di Montefranco,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Dompé Sergio,,,1,Dompé Sergio,ITALY,"#B85D6F",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Schivardi Fabiano,,,1,Schivardi Fabiano,ITALY,"#B85D6F",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Ref Ricerche,,,1,Ref Ricerche,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
EU Commissioner for Competition,,,1,EU Commissioner for Competition,EUROPEAN UNION,"#5C9A5C",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Farmindustria,,,1,Farmindustria,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
NMS Group,,,1,NMS Group,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
IDeA,,,1,IDeA,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Marcegaglia Emma,,,1,Marcegaglia Emma,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Italia Viva,,,1,Italia Viva,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
European Medicines Agency,,,1,European Medicines Agency,EUROPEAN UNION,"#5C9A5C",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
BioNTech,,,1,BioNTech,GERMANY,"#717F75",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
